1;1.298689e-01 
 2;2.187137e-02 
 3;3.926209e-03 
 4;7.326436e-04 
 5;1.392361e-04 
 6;2.676999e-05 
 7;5.185066e-06 
 8;1.009775e-06 
 9;1.975047e-07 
 10;3.877806e-08 
 11;7.641444e-09 
 12;1.511436e-09 
 13;3.001749e-10 
 14;5.989183e-11 
 15;1.201426e-11 
 16;2.425337e-12 
 17;4.932541e-13 
 18;1.012207e-13 
 19;2.118793e-14 
 20;5.369592e-15 
 21;3.221730e-15 
 22;3.082781e-15 
 23;3.079511e-15 
 24;3.077436e-15 
 25;3.075822e-15 
 26;3.079028e-15 
 27;3.081482e-15 
 28;3.077560e-15 
 29;3.081338e-15 
 30;3.074486e-15 
 31;3.081691e-15 
 32;3.084445e-15 
 33;3.083967e-15 
 34;3.083242e-15 
 35;3.073622e-15 
 36;3.083459e-15 
 37;3.083408e-15 
 38;3.079186e-15 
 39;3.078697e-15 
 40;3.073147e-15 
 41;3.078088e-15 
 42;3.079020e-15 
 43;3.083734e-15 
 44;3.083455e-15 
 45;3.074872e-15 
 46;3.079934e-15 
 47;3.080238e-15 
 48;3.081575e-15 
 49;3.069680e-15 
 50;3.078102e-15 
 51;3.081483e-15 
 52;3.077553e-15 
 53;3.066945e-15 
 54;3.078237e-15 
 55;3.077040e-15 
 56;3.073837e-15 
 57;3.078328e-15 
 58;3.076216e-15 
 59;3.076205e-15 
 60;3.082611e-15 
 61;3.076867e-15 
 62;3.076221e-15 
 63;3.073576e-15 
 64;3.087534e-15 
 65;3.075216e-15 
 66;3.079713e-15 
 67;3.087588e-15 
 68;3.087844e-15 
 69;3.084675e-15 
 70;3.073281e-15 
 71;3.082708e-15 
 72;3.073848e-15 
 73;3.071382e-15 
 74;3.082232e-15 
 75;3.076049e-15 
 76;3.077636e-15 
 77;3.078289e-15 
 78;3.075779e-15 
 79;3.080061e-15 
 80;3.077093e-15 
 81;3.074166e-15 
 82;3.075290e-15 
 83;3.078523e-15 
 84;3.081905e-15 
 85;3.074586e-15 
 86;3.083693e-15 
 87;3.083063e-15 
 88;3.079156e-15 
 89;3.081269e-15 
 90;3.079377e-15 
 91;3.077123e-15 
 92;3.076398e-15 
 93;3.077178e-15 
 94;3.080208e-15 
 95;3.090041e-15 
 96;3.076912e-15 
 97;3.080593e-15 
 98;3.082083e-15 
 99;3.076528e-15 
 100;3.078758e-15 
 
